seqID	BLAST_segment	HMMER_segment	GenBank_segment
AB043076	3	10	NULL
AB043077	1	10	NULL
AB043078	4	10	NULL
AB044293	8	9	NULL
AB044294	9	9	NULL
AB045213	4	3	3
AB045216	3	3	3
AB045218	11	11	11
AB045220	10	11	11
AB045372	9	9	9
AB045373	1	9	9
AB045374	9	9	9
AB045375	2	9	9
AB046464	5	9	NULL
AB046465	9	9	NULL
AB046466	1	9	NULL
AB046467	5	9	NULL
AB046468	8	9	NULL
AB046469	4	4	NULL
AB046470	4	4	NULL
AB046471	3	4	NULL
AB048198	5	10	10
AB048199	11	10	10
AB048201	4	10	10
AB048203	10	10	10
AB055967	4	4	4
AB055968	10	10	10
AB056650	8	9	NULL
AB065285	4	-	NULL
AB065286	5	-	NULL
AB065287	5	-	NULL
AB071404	9	9	NULL
AB077053	11	9	9
AB077054	7	9	9
AB077055	9	9	9
AB077056	7	9	9
AB077057	2	9	9
AB077058	2	9	9
AB077766	4	4	4
AB080737	4	9	NULL
AB080738	9	9	NULL
AB081593	9	9	NULL
AB081594	9	9	NULL
AB081774	8	9	NULL
AB081775	6	9	NULL
AB081776	3	9	NULL
AB081777	2	9	NULL
AB081779	9	9	NULL
AB081782	2	9	NULL
AB081783	9	9	NULL
AB081784	8	9	NULL
AB081785	2	9	NULL
AB081786	6	9	NULL
AB081788	2	9	NULL
AB081791	3	9	NULL
AB081792	8	9	NULL
AB081793	9	9	NULL
AB081794	9	9	NULL
AB081795	9	9	NULL
AB081796	3	9	NULL
AB081797	6	9	NULL
AB081798	9	9	NULL
AB081799	9	9	NULL
AB081801	9	9	NULL
AB086962	8	8	NULL
AB086963	3	8	NULL
AB086964	1	8	NULL
AB086965	3	8	NULL
AB086966	8	8	NULL
AB086967	1	8	NULL
AB086968	5	8	NULL
AB086969	1	8	NULL
AB091353	1	11	11
AB091356	3	11	11
AB091357	5	11	11
AB091358	11	11	11
AB091359	10	11	11
AB091360	9	9	NULL
AB091361	4	9	NULL
AB091362	8	9	NULL
AB091363	2	9	NULL
AB091364	9	9	NULL
AB091366	10	10	10
AB091726	11	11	11
AB091727	10	11	11
AB091746	5	9	NULL
AB091748	9	9	NULL
AB091751	9	9	NULL
AB091752	9	9	NULL
AB091754	5	9	NULL
AB091756	4	9	NULL
AB091777	2	9	NULL
AB091778	8	9	NULL
AB097459	5	5	NULL
AB106542	6	6	NULL
AB108680	5	5	NULL
AB108681	8	8	NULL
AB112915	1	10	10
AB112916	10	10	10
AB112917	2	10	10
AB118022	9	9	9
AB118023	9	9	9
AB118024	9	9	9
AB118025	1	4	4
AB119636	4	4	4
AB125852	9	9	NULL
AB125853	9	9	NULL
AB125855	1	4	NULL
AB158430	3	3	NULL
AB158431	9	9	NULL
AB176677	1	9	NULL
AB176679	2	9	NULL
AB176680	9	9	NULL
AB176681	7	9	NULL
AB176682	9	9	NULL
AB176683	8	9	NULL
AB176684	4	4	NULL
AB176685	3	4	NULL
AB176686	7	4	NULL
AB176687	1	4	NULL
AB176688	3	4	NULL
AB176689	4	4	NULL
AB176690	4	4	NULL
AB180214	11	8	NULL
AB180216	8	8	NULL
AB180969	10	9	9
AB180970	9	9	9
AB180971	2	9	9
AB180972	9	9	9
AB180973	2	9	9
AB180974	9	9	9
AB180975	4	4	4
AB180976	5	-	4
AB180977	3	4	4
AB180978	7	10	10
AB180979	10	10	10
AB186120	9	9	NULL
AB196491	4	10	NULL
AB196492	10	10	NULL
AB196958	6	10	NULL
AB196959	2	10	NULL
AB197846	9	9	NULL
AB197847	6	-	NULL
AB201459	1	10	NULL
AB211987	4	10	10
AB211988	2	10	10
AB211989	5	10	10
AB211991	2	10	10
AB211992	10	10	10
AB213392	4	10	10
AB222785	4	4	4
AB222786	3	4	4
AB222787	8	9	9
AB222788	9	9	9
AB232699	2	10	10
AB232700	10	10	10
AB247941	11	9	NULL
AB247943	9	9	NULL
AB257126	9	9	NULL
AB259664	4	3	NULL
AB259665	1	9	NULL
AB263979	9	9	NULL
AB263984	1	9	NULL
AB263989	9	9	NULL
AB263990	8	9	NULL
AB263997	2	9	NULL
AB264001	9	9	NULL
AB264003	2	9	NULL
AB264005	2	9	NULL
AB264006	9	9	NULL
AB264007	9	9	NULL
AB264008	4	-	4
AB269262	7	9	NULL
AB269263	9	9	NULL
AB269688	10	10	NULL
AB269689	10	9	NULL
AB269690	4	4	NULL
AB269753	6	4	NULL
AB269754	8	9	NULL
AB271687	4	-	NULL
AB271688	2	-	NULL
AB272753	7	9	NULL
AB275291	9	9	NULL
AB275294	6	9	NULL
AB275295	9	9	NULL
AB275296	11	9	NULL
AB275297	9	9	NULL
AB275298	9	9	NULL
AB275301	9	9	NULL
AB275302	9	9	NULL
AB281651	11	8	8
AB281652	1	8	8
AB281653	8	8	8
AB281655	8	8	8
AB281658	1	3	3
AB281661	3	3	3
AB281662	4	3	3
AB281663	5	3	3
AB281664	5	3	3
AB281665	10	3	3
AB281666	4	3	3
AB281667	5	3	3
AB281668	3	3	3
AB281669	1	3	3
AB281671	5	3	3
AB297791	9	9	NULL
AB297792	4	4	NULL
AB303218	10	10	10
AB306264	8	9	9
AB306267	9	9	9
AB306268	9	9	9
AB306270	9	9	9
AB306271	9	9	9
AB326286	10	10	NULL
AB326287	8	10	NULL
AB326288	1	10	NULL
AB326289	2	10	NULL
AB326290	4	10	NULL
AB326291	7	10	NULL
AB326292	11	10	NULL
AB326293	2	10	NULL
AB326294	5	10	NULL
AB326295	1	10	NULL
AB326296	2	10	NULL
AB326297	3	10	NULL
AB326333	3	10	NULL
AB326335	2	10	NULL
AB326336	2	10	NULL
AB326337	11	10	NULL
AB326339	8	10	NULL
AB326340	1	10	NULL
AB326341	4	10	NULL
AB326342	10	10	NULL
AB326343	3	10	NULL
AB326344	2	10	NULL
AB326345	6	10	NULL
AB326346	3	10	NULL
AB326347	3	10	NULL
AB326348	2	10	NULL
AB326387	6	10	NULL
AB326962	3	10	NULL
AB326963	2	10	NULL
AB326964	4	10	NULL
AB326965	10	10	NULL
AB326966	7	10	NULL
AB326968	4	10	NULL
AB326970	4	10	NULL
AB326971	5	10	NULL
AB361275	5	10	NULL
AB361276	1	10	NULL
AB361277	10	10	NULL
AB361278	8	10	NULL
AB361280	4	10	NULL
AB361281	2	10	NULL
AB361282	11	10	NULL
AB361283	3	10	NULL
AB361284	4	10	NULL
AB361285	5	10	NULL
AB361286	3	10	NULL
AB361287	2	10	NULL
AB361289	1	10	NULL
AB361290	3	10	NULL
AB364371	8	9	NULL
AB364372	1	9	9
AB364373	9	9	9
AB364375	8	9	9
AB364376	11	9	9
AB364378	9	9	9
AB364379	9	9	9
AB364382	8	9	9
AB364383	9	9	9
AB364384	9	9	9
AB374143	1	1	1
AB374144	2	2	2
AB374145	3	3	3
AB374146	6	6	6
AB436814	1	9	NULL
AB436816	9	9	NULL
AB436818	8	9	NULL
AB436819	9	9	NULL
AB436820	10	9	NULL
AB436821	3	9	NULL
AB436822	1	9	NULL
AB436825	9	9	NULL
AB436826	8	9	NULL
AB436827	3	9	NULL
AB436828	9	9	NULL
AB436829	8	9	NULL
AB436830	10	9	NULL
AB436832	7	9	NULL
AB436833	10	9	NULL
AB436834	5	9	NULL
AB436835	9	9	NULL
AB454420	4	3	NULL
AB454421	9	9	NULL
AB457634	2	-	NULL
AB457636	2	9	NULL
AB457637	6	-	NULL
AB486010	4	3	NULL
AB486011	9	9	NULL
AB490417	9	9	7
AB490418	3	9	7
AB490419	2	9	7
AB490420	1	9	7
AB490421	9	9	7
AB490422	6	9	7
AB490423	4	9	7
AB490424	11	9	7
AB490425	5	9	7
AB490426	9	9	7
AB490427	9	9	7
AB490428	3	9	7
AB490429	1	9	7
AB490430	1	9	7
AB490431	3	9	7
AB490432	4	9	7
AB490433	9	9	7
AB490434	6	9	7
AB490435	3	9	7
AB490436	9	9	7
AB490437	7	9	7
AB490438	3	9	7
AB490439	1	9	7
AB490440	9	9	7
AB490441	2	9	7
AB490442	4	9	7
AB490443	9	9	7
AB490444	3	9	7
AB490445	9	9	7
AB490446	9	9	7
AB490447	5	9	7
AB490448	5	9	7
AB490449	5	9	7
AB490450	8	9	7
AB490451	9	9	7
AB490452	7	9	7
AB490453	11	9	7
AB490454	9	9	7
AB499612	11	11	11
AB499613	3	3	3
AB499614	5	5	5
AB499615	8	8	8
AB513836	4	4	NULL
AB513837	9	9	NULL
AB513838	7	7	NULL
AB525798	8	9	NULL
AB525800	2	9	NULL
AB525801	9	9	NULL
AB526246	4	3	NULL
AB526247	8	9	NULL
AB526248	4	3	NULL
AB526249	9	9	NULL
AB527006	11	9	9
AB527010	9	9	9
AB527012	9	9	NULL
AB527016	3	9	NULL
AB527021	5	9	NULL
AB527022	1	9	NULL
AB527023	9	9	NULL
AB527029	10	9	NULL
AB527030	1	9	NULL
AB527033	9	9	NULL
AB527034	9	9	NULL
AB527037	9	9	NULL
AB527039	9	9	NULL
AB527040	1	9	NULL
AB527041	8	9	NULL
AB527042	3	9	NULL
AB527044	9	9	NULL
AB527045	9	9	NULL
AB530271	8	9	9
AB530272	9	9	9
AB530273	9	9	9
AB530274	9	9	9
AB533508	5	5	NULL
AB533512	3	5	NULL
AB533513	5	5	NULL
AB533514	1	8	NULL
AB533515	9	8	NULL
AB533516	7	8	NULL
AB533517	8	8	NULL
AB533518	9	8	NULL
AB533519	8	8	NULL
AB533520	9	8	NULL
AB533521	4	3	NULL
AB533524	3	3	NULL
AB533525	3	3	NULL
AB533526	4	3	NULL
AB533527	4	8	NULL
AB533529	8	8	NULL
AB533537	1	8	NULL
AB534521	8	9	9
AB534523	9	9	9
AB534525	9	9	9
AB534526	10	9	9
AB534527	3	9	9
AB534528	9	9	9
AB534529	8	9	9
AB534530	9	9	9
AB534531	5	9	9
AB534533	9	9	9
AB534534	1	9	9
AB534535	9	9	9
AB534536	9	9	9
AB536802	4	4	4
AB536804	2	4	4
AB536806	3	3	4
AB536807	4	-	4
AB536809	6	-	4
AB536810	3	-	4
AB543078	5	-	NULL
AB543079	2	-	NULL
AB543080	6	-	NULL
AB543081	8	-	NULL
AB543083	1	-	NULL
AB543085	7	-	NULL
AB543086	3	-	NULL
AB543087	1	-	NULL
AB543088	4	-	NULL
AB543089	4	-	NULL
AB544051	6	-	NULL
AB544052	4	-	NULL
AB544053	3	-	NULL
AB544054	2	4	NULL
AB544055	3	-	NULL
AB544056	1	4	NULL
AB544057	3	4	NULL
AB544059	8	4	NULL
AB546863	7	4	NULL
AB546864	4	4	NULL
AB546865	3	4	NULL
AB546866	9	9	NULL
AB546867	9	9	NULL
AB546868	9	9	NULL
AB547709	8	9	NULL
AB547710	3	9	NULL
AB547711	7	-	NULL
AB550232	2	-	NULL
AB550233	4	9	NULL
AB550234	9	9	NULL
AB550708	4	4	NULL
AB550709	4	9	NULL
AB551661	3	-	NULL
AB551662	2	-	NULL
AB551663	9	9	NULL
AB551664	9	9	NULL
AB553325	11	4	NULL
AB553326	2	4	NULL
AB553327	3	-	NULL
AB553328	9	9	NULL
AB553329	8	9	NULL
AB553330	2	9	NULL
AB556944	4	4	NULL
AB556945	9	9	NULL
AB561876	3	9	NULL
AB561877	9	9	NULL
AB561878	9	9	NULL
AB561879	7	-	NULL
AB561880	6	4	NULL
AB571046	9	9	NULL
AB571047	4	4	NULL
AB573070	1	1	NULL
AB573071	2	2	NULL
AB573072	3	3	NULL
AB573073	6	6	NULL
AB573074	5	-	NULL
AB573075	8	8	NULL
AB573076	7	7	NULL
AB573077	10	10	NULL
AB573078	11	11	NULL
AB573079	1	1	NULL
AB573080	2	2	NULL
AB573081	3	3	NULL
AB573082	6	6	NULL
AB573083	5	5	NULL
AB573084	8	8	NULL
AB573085	10	10	NULL
AB573086	11	11	NULL
AB573645	9	9	NULL
AB573646	4	4	NULL
AB573647	1	9	NULL
AB573648	4	4	NULL
AB573649	9	9	NULL
AB573650	3	4	NULL
AB573651	8	9	NULL
AB573872	2	4	NULL
AB573873	9	9	NULL
AB573874	3	4	NULL
AB573877	8	9	NULL
AB573878	4	4	NULL
AB573879	9	9	NULL
AB573880	4	4	NULL
AB576625	4	4	3
AB576626	6	6	6
AB576627	9	9	9
AB576628	10	10	10
AB576629	1	1	1
AB576630	2	2	2
AB576631	3	3	4
AB576632	5	-	5
AB576633	8	8	7
AB576634	7	7	8
AB576635	11	11	11
AB585910	9	9	9
AB585913	9	9	9
AB585915	11	9	9
AB585918	3	9	9
AB585921	9	9	9
AB585922	8	9	9
AB585923	9	9	9
AB585924	9	9	9
AB585926	10	9	9
AB585927	7	9	9
AB585929	9	9	9
AB585931	4	9	9
AB585932	3	9	9
AB585933	1	9	9
AB585934	9	9	9
AB585935	1	9	9
AB585936	9	9	9
AB595951	2	9	NULL
AB595952	8	9	NULL
AB595954	1	9	NULL
AB595955	1	9	NULL
AB595956	5	9	NULL
AB595957	2	9	NULL
AB595960	8	9	NULL
AB595961	1	9	NULL
AB595962	1	9	NULL
AB595963	9	9	NULL
AB595966	5	-	NULL
AB595967	3	-	NULL
AB595968	4	-	NULL
AB595969	4	-	NULL
AB595971	6	-	NULL
AB595972	3	-	NULL
AB595976	9	9	NULL
AB595977	8	9	NULL
AB595979	9	9	NULL
AB595980	9	9	NULL
AB605258	9	9	9
AB605598	1	6	6
AB605601	6	6	6
AB605602	2	9	9
AB605603	6	9	9
AB605604	9	9	9
AB605605	8	9	9
AB611689	2	9	NULL
AB611691	9	9	NULL
AB611692	9	9	NULL
AB611693	9	9	NULL
AB621363	9	9	NULL
AB621584	3	4	4
AB621585	4	4	4
AB621586	4	4	4
AB621587	3	4	4
AB621588	6	4	4
AB625612	2	-	NULL
AB625613	9	-	NULL
AB625617	6	-	NULL
AB625618	3	-	NULL
AB625619	9	9	NULL
AB625620	11	9	NULL
AB625621	8	9	NULL
AB625625	9	9	NULL
AB646350	5	5	NULL
AB646351	5	5	NULL
AB646352	4	-	NULL
AB646353	6	5	NULL
AB646354	11	5	NULL
AB646355	3	5	NULL
AB646356	8	5	NULL
AB646357	1	-	NULL
AB646358	1	5	NULL
AB646359	5	5	NULL
AB646360	5	-	NULL
AB646361	6	-	NULL
AB646362	5	5	NULL
AB646363	5	5	NULL
AB646364	2	5	NULL
AB648915	5	5	NULL
AB648916	8	8	NULL
AB648917	3	3	NULL
AB669006	6	6	6
AB669007	10	10	10
AB669008	4	4	4
AB669009	9	9	NULL
AB669010	6	6	6
AB669016	4	4	4
AB669017	9	9	NULL
AB669018	6	6	6
AB669019	10	10	10
AB673215	8	8	8
AB673216	8	8	8
AB673217	3	8	8
AB673218	3	8	8
AB673219	7	8	8
AB673220	9	8	8
AB673221	8	8	8
AB673222	4	8	8
AB673223	1	8	8
AB673224	5	8	8
AB673225	5	8	8
AB673226	8	8	8
AB673227	1	8	8
AB673228	8	8	8
AB673229	8	8	8
AB673230	1	8	8
AB673231	5	8	8
AB673232	8	8	8
AB673233	8	8	8
AB690404	6	9	9
AB690405	9	9	9
AB690407	9	9	9
AB690409	9	9	9
AB690410	3	9	9
AB690411	9	9	9
AB690412	9	9	9
AB690413	8	9	9
AB690414	7	-	4
AB690415	2	-	4
AB690416	4	4	4
AB690419	3	-	4
AB690420	4	-	4
AB690421	3	4	4
AB690422	4	-	4
AB701778	9	9	9
AB701779	9	9	9
AB701780	9	9	9
AB701781	4	4	4
AB701782	1	-	4
AB701783	3	4	4
AB701784	7	-	4
AB701785	3	4	4
AB701786	4	-	4
AB703266	1	9	NULL
AB703267	8	9	NULL
AB703268	9	9	NULL
AB703269	3	-	NULL
AB703270	6	-	NULL
AB703271	6	-	NULL
AB703272	4	-	NULL
AB713973	11	11	NULL
AB713974	4	11	NULL
AB713975	4	11	NULL
AB713976	1	11	NULL
AB713977	2	11	NULL
AB713978	2	11	NULL
AB713979	11	11	NULL
AB713980	11	11	NULL
AB713981	10	11	NULL
AB713982	11	11	NULL
AB713983	4	11	NULL
AB713984	6	11	NULL
AB713985	4	11	NULL
AB713986	3	11	NULL
AB713987	8	11	NULL
AB713988	11	11	NULL
AB713989	11	11	NULL
AB713990	11	11	NULL
AB713991	2	11	NULL
AB713992	11	11	NULL
AB713994	11	11	NULL
AB714258	1	1	1
AB714259	2	2	2
AB714260	3	3	3
AB714261	4	4	4
AB714262	5	5	5
AB714263	6	6	6
AB714264	7	7	7
AB714265	8	8	8
AB714266	9	9	9
AB714267	10	10	10
AB714268	11	11	11
AB733131	4	4	NULL
AB733132	6	6	NULL
AB733133	1	1	NULL
AB733134	2	2	NULL
AB733135	3	3	NULL
AB733136	5	-	NULL
AB733137	8	8	NULL
AB733138	7	7	NULL
AB735631	8	9	9
AB735633	11	9	9
AB735634	9	9	9
AB735635	9	9	9
AB735636	8	9	9
AB735637	9	9	9
AB735640	5	4	4
AB735641	8	-	4
AB735642	3	-	4
AB735643	4	4	4
AB735644	10	4	4
AB738402	7	7	NULL
AB738403	9	9	NULL
AB738404	11	-	NULL
AB738405	1	1	NULL
AB738406	2	2	NULL
AB738407	7	7	NULL
AB738408	9	9	NULL
AB738409	6	6	NULL
AB738410	11	-	NULL
AB738411	10	10	NULL
AB738412	1	1	NULL
AB738413	2	2	NULL
AB738414	4	4	NULL
AB738415	3	3	NULL
AB738416	5	5	NULL
AB738417	8	8	NULL
AB740140	6	5	NULL
AB740141	8	8	NULL
AB740143	5	5	NULL
AB740144	9	8	NULL
AB740145	3	3	NULL
AB740146	11	11	NULL
AB740150	7	11	NULL
AB740151	2	11	NULL
AB740152	11	11	NULL
AB740154	5	11	NULL
AB741649	1	1	1
AB741650	2	2	2
AB741651	3	3	3
AB741652	4	4	4
AB741653	6	6	5
AB741654	9	9	6
AB741655	5	5	7
AB741656	8	8	8
AB741657	7	7	9
AB741658	10	10	10
AB741659	11	11	11
AB747360	9	9	NULL
AB747361	9	9	NULL
AB747365	4	4	NULL
AB747366	3	4	NULL
AB748567	4	6	NULL
AB748568	4	6	NULL
AB748570	9	6	NULL
AB748571	6	6	NULL
AB748572	1	1	NULL
AB748573	1	1	NULL
AB748574	1	1	NULL
AB748575	1	1	NULL
AB748576	11	1	NULL
AB748577	2	2	NULL
AB748578	2	2	NULL
AB748579	2	2	NULL
AB748580	2	2	NULL
AB748581	5	2	NULL
AB748585	2	3	NULL
AB748586	3	3	NULL
AB748587	11	5	NULL
AB748588	5	5	NULL
AB748590	3	5	NULL
AB748591	5	5	NULL
AB748593	7	8	NULL
AB748594	8	8	NULL
AB748595	8	8	NULL
AB748596	8	8	NULL
AB748599	4	7	NULL
AB748600	7	7	NULL
AB748601	7	7	NULL
AB748604	10	10	NULL
AB748606	5	10	NULL
AB748608	11	11	NULL
AB748609	10	11	NULL
AB748610	11	11	NULL
AB748611	5	11	NULL
AB748612	9	9	NULL
AB748936	2	9	NULL
AB749162	3	9	NULL
AB749165	3	9	NULL
AB749167	11	9	NULL
AB749168	4	9	NULL
AB749169	4	9	NULL
AB749170	10	9	NULL
AB749171	9	9	NULL
AB749173	6	9	NULL
AB749176	3	9	NULL
AB749178	2	9	NULL
AB749180	6	9	NULL
AB749181	4	9	NULL
AB749183	1	9	NULL
AB749185	9	9	NULL
AB749186	3	4	NULL
AB749187	2	4	NULL
AB749188	4	4	NULL
AB749189	1	4	NULL
AB749191	7	4	NULL
AB749192	3	4	NULL
AB749193	4	4	NULL
AB749194	4	4	NULL
AB749195	3	4	NULL
AB749196	3	4	NULL
AB749198	3	4	NULL
AB749199	3	4	NULL
AB749200	10	4	NULL
AB749201	2	4	NULL
AB749202	6	4	NULL
AB749203	4	4	NULL
AB749204	3	4	NULL
AB749205	3	4	NULL
AB749206	2	4	NULL
AB749207	3	4	NULL
AB749208	4	4	NULL
AB749209	4	4	NULL
AB749210	3	4	NULL
AB749333	9	6	NULL
AB749334	6	6	NULL
AB749335	5	6	NULL
AB749336	4	6	NULL
AB749337	2	6	NULL
AB749338	6	6	NULL
AB749339	9	6	NULL
AB749340	6	6	NULL
AB749341	3	6	NULL
AB749343	1	6	NULL
AB749344	5	6	NULL
AB749345	5	6	NULL
AB749346	4	6	NULL
AB749349	3	6	NULL
AB749350	1	6	NULL
AB749351	6	6	NULL
AB749352	5	6	NULL
AB749353	5	6	NULL
AB749354	5	6	NULL
AB749355	6	6	NULL
AB749356	1	6	NULL
AB749357	7	6	NULL
AB749359	5	6	NULL
AB749771	9	9	NULL
AB749772	4	4	4
AB749774	4	4	4
AB749775	9	9	NULL
AB749779	1	1	NULL
AB749780	1	1	NULL
AB749781	1	1	NULL
AB749783	1	1	NULL
AB749785	1	1	NULL
AB749786	8	1	NULL
AB749787	1	1	NULL
AB749788	6	1	NULL
AB749789	1	1	NULL
AB749790	1	1	NULL
AB749791	5	1	NULL
AB749792	1	1	NULL
AB749793	6	1	NULL
AB749794	1	1	NULL
AB749795	11	1	NULL
AB749796	1	1	NULL
AB749797	1	1	NULL
AB749798	1	1	NULL
AB749799	1	1	NULL
AB749800	6	1	NULL
AB749801	1	1	NULL
AB749802	1	1	NULL
AB749803	1	1	NULL
AB749804	6	1	NULL
AB749805	1	1	NULL
AB751523	2	2	NULL
AB751524	5	2	NULL
AB751525	2	2	NULL
AB751526	6	2	NULL
AB751527	1	2	NULL
AB751530	3	2	NULL
AB751531	2	2	NULL
AB751532	1	2	NULL
AB751534	2	2	NULL
AB751535	2	2	NULL
AB751536	3	2	NULL
AB751537	3	2	NULL
AB751538	3	2	NULL
AB751539	2	2	NULL
AB751540	2	2	NULL
AB751541	2	2	NULL
AB751542	4	2	NULL
AB751544	1	2	NULL
AB751545	2	2	NULL
AB751546	2	2	NULL
AB751547	6	2	NULL
AB751548	2	2	NULL
AB751549	3	3	NULL
AB751550	3	3	NULL
AB751551	6	3	NULL
AB751552	2	3	NULL
AB751553	4	3	NULL
AB751554	3	3	NULL
AB751555	7	3	NULL
AB751556	1	3	NULL
AB751557	3	3	NULL
AB751558	4	3	NULL
AB751559	2	3	NULL
AB751560	4	3	NULL
AB751561	3	3	NULL
AB751562	4	3	NULL
AB751563	1	3	NULL
AB751564	4	3	NULL
AB751565	9	3	NULL
AB751566	3	3	NULL
AB751567	4	3	NULL
AB751568	4	3	NULL
AB751570	3	3	NULL
AB751571	3	3	NULL
AB751572	4	3	NULL
AB751573	3	3	NULL
AB751574	7	3	NULL
AB751575	3	3	NULL
AB751576	2	2	NULL
AB753072	7	-	NULL
AB753073	5	-	NULL
AB753074	3	5	NULL
AB753075	1	-	NULL
AB753076	5	-	NULL
AB753077	3	-	NULL
AB753078	5	-	NULL
AB753079	1	-	NULL
AB753080	4	-	NULL
AB753081	7	-	NULL
AB753082	6	-	NULL
AB753083	4	-	NULL
AB753084	3	-	NULL
AB753085	9	5	NULL
AB753087	5	-	NULL
AB753088	11	-	NULL
AB753090	4	-	NULL
AB753091	2	5	NULL
AB753093	1	-	NULL
AB753094	5	-	NULL
AB753095	6	5	NULL
AB753096	9	5	NULL
AB753097	3	5	NULL
AB753098	5	5	NULL
AB753224	9	8	NULL
AB753225	8	8	NULL
AB753226	2	8	NULL
AB753227	3	8	NULL
AB753230	3	8	NULL
AB753231	8	8	NULL
AB753234	8	8	NULL
AB753236	9	8	NULL
AB753238	2	8	NULL
AB753239	3	8	NULL
AB753240	8	8	NULL
AB753241	7	8	NULL
AB753242	7	8	NULL
AB753244	3	8	NULL
AB753245	9	8	NULL
AB753246	8	8	NULL
AB753247	8	8	NULL
AB753249	8	8	NULL
AB753492	7	7	NULL
AB753493	7	7	NULL
AB753494	7	7	NULL
AB753495	7	7	NULL
AB753499	1	7	NULL
AB753500	4	7	NULL
AB753502	8	7	NULL
AB753503	7	7	NULL
AB753505	7	7	NULL
AB753506	3	7	NULL
AB753508	7	7	NULL
AB753509	3	7	NULL
AB753513	5	7	NULL
AB753514	3	7	NULL
AB753515	4	7	NULL
AB753516	1	7	NULL
AB753517	7	7	NULL
AB753518	7	7	NULL
AB755563	3	10	NULL
AB755566	3	10	NULL
AB755568	3	10	NULL
AB755569	1	10	NULL
AB755572	10	10	NULL
AB755574	3	10	NULL
AB755575	5	10	NULL
AB755576	5	10	NULL
AB755577	1	10	NULL
AB755578	10	10	NULL
AB755580	4	10	NULL
AB755582	3	10	NULL
AB755583	5	11	NULL
AB755585	1	11	NULL
AB755587	2	11	NULL
AB755588	11	11	NULL
AB755590	10	11	NULL
AB755591	10	11	NULL
AB755594	2	11	NULL
AB755595	10	11	NULL
AB755596	6	11	NULL
AB755597	7	11	NULL
AB755598	6	11	NULL
AB755599	3	11	NULL
AB755600	11	11	NULL
AB755601	9	11	NULL
AB755602	3	11	NULL
AB755604	5	11	NULL
AB755605	10	11	NULL
AB755606	11	11	NULL
AB755607	5	11	NULL
AB755609	10	11	NULL
AB762769	9	9	NULL
AB762770	4	4	NULL
AB762771	6	6	NULL
AB762772	1	1	NULL
AB762773	2	2	NULL
AB762774	3	3	NULL
AB762775	5	-	NULL
AB762776	8	8	NULL
AB762777	7	7	NULL
